path,label
25954813/HMU-GC-HE-30K/all_image/MUC/MUC_2559.png,MUC
25954813/HMU-GC-HE-30K/all_image/MUS/MUS_2578.png,MUS
25954813/HMU-GC-HE-30K/all_image/MUC/MUC_1231.png,MUC
25954813/HMU-GC-HE-30K/all_image/TUM/TUM_3461.png,TUM
25954813/HMU-GC-HE-30K/all_image/NOR/NOR_39.png,NOR
25954813/HMU-GC-HE-30K/all_image/TUM/TUM_1907.png,TUM
25954813/HMU-GC-HE-30K/all_image/MUS/MUS_2692.png,MUS
25954813/HMU-GC-HE-30K/all_image/TUM/TUM_947.png,TUM
25954813/HMU-GC-HE-30K/all_image/DEB/DEB_278.png,DEB
25954813/HMU-GC-HE-30K/all_image/LYM/LYM_3244.png,LYM
25954813/HMU-GC-HE-30K/all_image/LYM/LYM_3189.png,LYM
25954813/HMU-GC-HE-30K/all_image/MUC/MUC_1073.png,MUC
25954813/HMU-GC-HE-30K/all_image/TUM/TUM_2977.png,TUM
25954813/HMU-GC-HE-30K/all_image/LYM/LYM_3456.png,LYM
25954813/HMU-GC-HE-30K/all_image/ADI/ADI_793.png,ADI
25954813/HMU-GC-HE-30K/all_image/LYM/LYM_155.png,LYM
25954813/HMU-GC-HE-30K/all_image/STR/STR_998.png,STR
25954813/HMU-GC-HE-30K/all_image/STR/STR_2911.png,STR
25954813/HMU-GC-HE-30K/all_image/DEB/DEB_409.png,DEB
25954813/HMU-GC-HE-30K/all_image/NOR/NOR_405.png,NOR
25954813/HMU-GC-HE-30K/all_image/MUS/MUS_3288.png,MUS
25954813/HMU-GC-HE-30K/all_image/DEB/DEB_1138.png,DEB
25954813/HMU-GC-HE-30K/all_image/TUM/TUM_2287.png,TUM
25954813/HMU-GC-HE-30K/all_image/STR/STR_3430.png,STR
25954813/HMU-GC-HE-30K/all_image/MUC/MUC_3699.png,MUC
25954813/HMU-GC-HE-30K/all_image/DEB/DEB_487.png,DEB
25954813/HMU-GC-HE-30K/all_image/MUS/MUS_1475.png,MUS
